upper_bound,error_distance
1.23718,0.50116
1.23718,0.46609
1.23718,0.77106
1.23718,0.54766
1.23718,0.73403
1.23718,0.57452
1.23718,0.54928
1.23718,0.60608
1.23718,0.52262
1.23718,0.82927
1.23718,0.50185
1.23718,0.49685
1.23718,0.50275
1.23718,0.99394
1.23718,0.50871
1.23718,0.73448
1.23718,0.52174
1.23718,0.70174
1.23718,0.71533
1.23718,0.67256
1.23718,0.74313
1.23718,0.49119
1.23718,0.49988
1.23718,0.47775
1.23718,0.50024
1.23718,0.47208
1.23718,0.50123
1.23718,0.49931
1.23718,0.50986
1.23718,0.52021
1.23718,0.52564
1.23718,0.67803
1.23718,0.73068
1.23718,0.64981
1.23718,0.58535
1.23718,0.47927
1.23718,0.56637
1.23718,0.46820
1.23718,0.53567
1.23718,0.46492
1.23718,0.82351
1.23718,0.51036
1.23718,0.78532
1.23718,0.53341
1.23718,0.58643
1.23718,0.56192
1.23718,0.55642
1.23718,0.77346
1.23718,0.53155
1.23718,0.81012
1.23718,0.49820
1.23718,0.49254
1.23718,0.49845
1.23718,0.53437
1.23718,0.50617
1.23718,0.60035
1.23718,0.82026
1.23718,0.57506
1.23718,0.85103
1.23718,0.45065
1.23718,0.47770
1.23718,0.44779
1.23718,0.46975
1.23718,0.45329
1.23718,0.35154
1.23718,0.62391
1.23718,0.67489
1.23718,0.80822
1.23718,0.65370
1.23718,0.68314
1.23718,0.56576
1.23718,0.67635
1.23718,0.56501
1.23718,0.65391
1.23718,0.57084
1.23718,0.66768
1.23718,0.67474
1.23718,0.89297
1.23718,0.58035
1.23718,0.61278
1.23718,0.57096
1.23718,0.61442
1.23718,0.59911
1.23718,1.01635
1.23718,0.61266
1.23718,0.78560
1.23718,0.63166
1.23718,0.76130
1.23718,0.81798
1.23718,0.74109
1.23718,0.84834
1.23718,0.64011
1.23718,0.59052
1.23718,0.63449
1.23718,0.58987
1.23718,0.63483
1.23718,0.25058
1.23718,0.49823
1.23718,0.84390
1.23718,0.52290
1.23718,0.65564
1.23718,0.55305
1.23718,0.62933
1.23718,0.48728
1.23718,0.60806
1.23718,0.47238
1.23718,0.56973
1.23718,0.46503
1.23718,0.57048
1.23718,0.50168
1.23718,0.57778
1.23718,0.52121
1.23718,0.64356
1.23718,0.54693
1.23718,0.61281
1.23718,0.75587
1.23718,0.58666
1.23718,0.79115
1.23718,0.54667
1.23718,0.50673
1.23718,0.54298
1.23718,0.79578
1.23718,0.54614
1.23718,0.75902
1.23718,0.70021
1.23718,0.72521
1.23718,0.46896
1.23718,0.77682
1.23718,0.50946
1.23718,0.76315
1.23718,0.34457
1.23718,0.75399
1.23718,0.22527
1.23718,0.74991
1.23718,0.22595
1.23718,0.72018
1.23718,0.24280
1.23718,0.73432
1.23718,0.20990
1.23718,0.91206
1.23718,0.18664
1.23718,0.75614
1.23718,0.18190
1.23718,1.04990
1.23718,0.34224
1.23718,1.02324
1.23718,0.37745
1.23718,0.82427
1.23718,0.41836
1.23718,0.70113
1.23718,0.54218
1.23718,0.68584
1.23718,0.52899
1.23718,0.16314
1.23718,0.73362
1.23718,0.17570
1.23718,0.81524
1.23718,0.20640
1.23718,0.82621
1.23718,0.44015
1.23718,0.84177
1.23718,0.37595
1.23718,0.86111
1.23718,0.33722
1.23718,0.78441
1.23718,0.30575
1.23718,0.77662
1.23718,0.16204
1.23718,0.77363
1.23718,0.18172
1.23718,0.90915
1.23718,0.21745
1.23718,0.88054
1.23718,0.46599
1.23718,0.85506
1.23718,0.50859
1.23718,0.76312
1.23718,0.55433
1.23718,0.75164
